date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:34	425049/425049	---M--	200	added ('OK')	image/jpeg	etag:%22646c8c24-67c59%22	https://vihaan.ieeedtu.in/images/misc/1.jpg	D:/Port/vihaan.ieeedtu.in/images/misc/1.jpg	(from https://vihaan.ieeedtu.in/)
19:01:34	748750/748750	---M--	200	added ('OK')	image/jpeg	etag:%22646c8c24-b6cce%22	https://vihaan.ieeedtu.in/images/bg/2.jpg	D:/Port/vihaan.ieeedtu.in/images/bg/2.jpg	(from https://vihaan.ieeedtu.in/)
19:01:34	216628/216628	---M--	200	added ('OK')	image/jpeg	etag:%22646c8c24-34e34%22	https://vihaan.ieeedtu.in/images/bg/1.jpg	D:/Port/vihaan.ieeedtu.in/images/bg/1.jpg	(from https://vihaan.ieeedtu.in/)
19:01:34	244892/244892	---M--	200	added ('OK')	image/png	etag:%22646c8c24-3bc9c%22	https://vihaan.ieeedtu.in/images/team/1.png	D:/Port/vihaan.ieeedtu.in/images/team/1.png	(from https://vihaan.ieeedtu.in/)
19:01:35	240383/240383	---M--	200	added ('OK')	image/png	etag:%22646c8c24-3aaff%22	https://vihaan.ieeedtu.in/images/team/2.png	D:/Port/vihaan.ieeedtu.in/images/team/2.png	(from https://vihaan.ieeedtu.in/)
19:01:35	219477/219477	---M--	200	added ('OK')	image/png	etag:%22646c8c24-35955%22	https://vihaan.ieeedtu.in/images/team/3.png	D:/Port/vihaan.ieeedtu.in/images/team/3.png	(from https://vihaan.ieeedtu.in/)
19:01:35	241417/241417	---M--	200	added ('OK')	image/png	etag:%22646c8c24-3af09%22	https://vihaan.ieeedtu.in/images/team/4.png	D:/Port/vihaan.ieeedtu.in/images/team/4.png	(from https://vihaan.ieeedtu.in/)
19:01:35	250336/250336	---M--	200	added ('OK')	image/png	etag:%22646c8c24-3d1e0%22	https://vihaan.ieeedtu.in/images/team/5.png	D:/Port/vihaan.ieeedtu.in/images/team/5.png	(from https://vihaan.ieeedtu.in/)
19:01:36	203485/203485	---M--	200	added ('OK')	image/png	etag:%22646c8c24-31add%22	https://vihaan.ieeedtu.in/images/team/6.png	D:/Port/vihaan.ieeedtu.in/images/team/6.png	(from https://vihaan.ieeedtu.in/)
19:01:36	246245/246245	---M--	200	added ('OK')	image/png	etag:%22646c8c24-3c1e5%22	https://vihaan.ieeedtu.in/images/team/7.png	D:/Port/vihaan.ieeedtu.in/images/team/7.png	(from https://vihaan.ieeedtu.in/)
19:01:36	255436/255436	---M--	200	added ('OK')	image/png	etag:%22646c8c24-3e5cc%22	https://vihaan.ieeedtu.in/images/team/8.png	D:/Port/vihaan.ieeedtu.in/images/team/8.png	(from https://vihaan.ieeedtu.in/)
19:01:37	202264/202264	---M--	200	added ('OK')	image/png	etag:%22646c8c24-31618%22	https://vihaan.ieeedtu.in/images/team/9.png	D:/Port/vihaan.ieeedtu.in/images/team/9.png	(from https://vihaan.ieeedtu.in/)
19:01:37	246798/246798	---M--	200	added ('OK')	image/png	etag:%22646c8c24-3c40e%22	https://vihaan.ieeedtu.in/images/team/10.png	D:/Port/vihaan.ieeedtu.in/images/team/10.png	(from https://vihaan.ieeedtu.in/)
19:01:37	4492/4492	---M--	200	added ('OK')	image/png	etag:%22646c8c24-118c%22	https://vihaan.ieeedtu.in/images/logo/g2.png	D:/Port/vihaan.ieeedtu.in/images/logo/g2.png	(from https://vihaan.ieeedtu.in/)
19:01:37	6239/6239	---M--	200	added ('OK')	image/png	etag:%22646c8c24-185f%22	https://vihaan.ieeedtu.in/images/logo/g3.png	D:/Port/vihaan.ieeedtu.in/images/logo/g3.png	(from https://vihaan.ieeedtu.in/)
19:01:38	9861/9861	---M--	200	added ('OK')	image/png	etag:%22646c8c24-2685%22	https://vihaan.ieeedtu.in/images/logo/s4.png	D:/Port/vihaan.ieeedtu.in/images/logo/s4.png	(from https://vihaan.ieeedtu.in/)
19:01:38	4486/4486	---M--	200	added ('OK')	image/png	etag:%22646c8c24-1186%22	https://vihaan.ieeedtu.in/images/logo/s2.png	D:/Port/vihaan.ieeedtu.in/images/logo/s2.png	(from https://vihaan.ieeedtu.in/)
19:01:38	4100/4100	---M--	200	added ('OK')	image/png	etag:%22646c8c24-1004%22	https://vihaan.ieeedtu.in/images/logo/s5.png	D:/Port/vihaan.ieeedtu.in/images/logo/s5.png	(from https://vihaan.ieeedtu.in/)
19:01:39	1159616/1159616	---M--	200	added ('OK')	image/png	etag:%22646c8c24-11b1c0%22	https://vihaan.ieeedtu.in/images/logo/001_LWT_logo.png	D:/Port/vihaan.ieeedtu.in/images/logo/001_LWT_logo.png	(from https://vihaan.ieeedtu.in/)
19:01:39	31962/31962	---M--	200	added ('OK')	image/png	etag:%22646c8c24-7cda%22	https://vihaan.ieeedtu.in/images/logo/1597044397-Cornitos-Nacho%20Crisps%20Cheese%20And%20Herbs%20150g-Logo.png	D:/Port/vihaan.ieeedtu.in/images/logo/1597044397-Cornitos-Nacho%20Crisps%20Cheese%20And%20Herbs%20150g-Logo.png	(from https://vihaan.ieeedtu.in/)
19:01:39	134313/134313	---M--	200	added ('OK')	image/png	etag:%22646c8c24-20ca9%22	https://vihaan.ieeedtu.in/images/logo/Greenish.png	D:/Port/vihaan.ieeedtu.in/images/logo/Greenish.png	(from https://vihaan.ieeedtu.in/)
19:01:39	43536/43536	---M--	200	added ('OK')	image/png	etag:%22646c8c24-aa10%22	https://vihaan.ieeedtu.in/images/logo/SC-23092020164856.png	D:/Port/vihaan.ieeedtu.in/images/logo/SC-23092020164856.png	(from https://vihaan.ieeedtu.in/)
19:01:40	5400/5400	---M--	200	added ('OK')	image/png	etag:%22646c8c24-1518%22	https://vihaan.ieeedtu.in/images/logo/taskade-circle-logo-full-black.png	D:/Port/vihaan.ieeedtu.in/images/logo/taskade-circle-logo-full-black.png	(from https://vihaan.ieeedtu.in/)
19:01:40	170181/170181	---M--	200	added ('OK')	image/jpeg	etag:%22646c8c24-298c5%22	https://vihaan.ieeedtu.in/images/logo/jnuobi%20logo.jpg	D:/Port/vihaan.ieeedtu.in/images/logo/jnuobi%20logo.jpg	(from https://vihaan.ieeedtu.in/)
19:01:40	101945/101945	---M--	200	added ('OK')	image/jpeg	etag:%22646c8c24-18e39%22	https://vihaan.ieeedtu.in/images/logo/roqo%20logo.jpg	D:/Port/vihaan.ieeedtu.in/images/logo/roqo%20logo.jpg	(from https://vihaan.ieeedtu.in/)
19:01:40	10380/10380	---M--	200	added ('OK')	image/jpeg	etag:%22646c8c24-288c%22	https://vihaan.ieeedtu.in/images/logo/4s.jpeg	D:/Port/vihaan.ieeedtu.in/images/logo/4s.jpg	(from https://vihaan.ieeedtu.in/)
19:01:41	294253/294253	---M--	200	added ('OK')	image/jpeg	etag:%22646c8c24-47d6d%22	https://vihaan.ieeedtu.in/images/portfolio/1.jpg	D:/Port/vihaan.ieeedtu.in/images/portfolio/1.jpg	(from https://vihaan.ieeedtu.in/)
19:01:41	365967/365967	---M--	200	added ('OK')	image/jpeg	etag:%22646c8c24-5958f%22	https://vihaan.ieeedtu.in/images/portfolio/2.jpg	D:/Port/vihaan.ieeedtu.in/images/portfolio/2.jpg	(from https://vihaan.ieeedtu.in/)
19:01:41	367696/367696	---M--	200	added ('OK')	image/jpeg	etag:%22646c8c24-59c50%22	https://vihaan.ieeedtu.in/images/portfolio/3.jpg	D:/Port/vihaan.ieeedtu.in/images/portfolio/3.jpg	(from https://vihaan.ieeedtu.in/)
19:01:42	333789/333789	---M--	200	added ('OK')	image/jpeg	etag:%22646c8c24-517dd%22	https://vihaan.ieeedtu.in/images/portfolio/4.jpg	D:/Port/vihaan.ieeedtu.in/images/portfolio/4.jpg	(from https://vihaan.ieeedtu.in/)
19:01:42	6107/6107	---M-Z	200	added ('OK')	application/javascript	etag:W/%22646c8c25-17db%22	https://vihaan.ieeedtu.in/js/dots.js	D:/Port/vihaan.ieeedtu.in/js/dots.js	(from https://vihaan.ieeedtu.in/)
19:01:42	10356/10356	---MCZ	200	added ('OK')	application/javascript	etag:W/%222874-1853939a408%22	https://apply.devfolio.co/v2/sdk.js	D:/Port/apply.devfolio.co/v2/sdk.js	(from https://vihaan.ieeedtu.in/)
19:01:45	5467/5467	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-155b%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/1.19.0/easing/EasePack.min.js	D:/Port/cdnjs.cloudflare.com/ajax/libs/gsap/1.19.0/easing/EasePack.min.js	(from https://vihaan.ieeedtu.in/)
19:01:45	27568/27568	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-6bb0%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/1.19.0/TweenLite.min.js	D:/Port/cdnjs.cloudflare.com/ajax/libs/gsap/1.19.0/TweenLite.min.js	(from https://vihaan.ieeedtu.in/)
19:01:47	23364/23364	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b44-gBf4sYaQd9tyhXPxykaEoAr2lGI%22	https://cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	D:/Port/cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	(from https://vihaan.ieeedtu.in/)
19:01:47	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://threejs.org/examples/js/libs/stats.min.js	D:/Port/threejs.org/examples/js/libs/stats.min.3b.delayed	(from https://vihaan.ieeedtu.in/)
19:01:47	92629/92629	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js?ver=1.9.1	D:/Port/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min3109.js	(from https://vihaan.ieeedtu.in/)
19:01:47	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/resources/scripts/bg-animation.js	D:/Port/vihaan.ieeedtu.in/resources/scripts/bg-animation.3c.delayed	(from https://vihaan.ieeedtu.in/)
19:01:48	393826/393826	---M-Z	200	added ('OK')	application/javascript	etag:W/%22646c8c25-60262%22	https://vihaan.ieeedtu.in/js/plugins.js	D:/Port/vihaan.ieeedtu.in/js/plugins.js	(from https://vihaan.ieeedtu.in/)
19:01:48	48244/48244	---M-Z	200	added ('OK')	application/javascript	etag:W/%22646c8c25-bc74%22	https://vihaan.ieeedtu.in/js/designesia.js	D:/Port/vihaan.ieeedtu.in/js/designesia.js	(from https://vihaan.ieeedtu.in/)
19:01:48	2782/2782	---M-Z	200	added ('OK')	application/javascript	etag:W/%22646c8c25-ade%22	https://vihaan.ieeedtu.in/js/validation.js	D:/Port/vihaan.ieeedtu.in/js/validation.js	(from https://vihaan.ieeedtu.in/)
19:01:49	193/193	---M--	200	added ('OK')	application/javascript	etag:%22646c8c25-c1%22	https://vihaan.ieeedtu.in/js/countdown-custom.js	D:/Port/vihaan.ieeedtu.in/js/countdown-custom.js	(from https://vihaan.ieeedtu.in/)
19:01:49	633/633	---M-Z	200	added ('OK')	application/javascript	etag:W/%22646c8c25-279%22	https://vihaan.ieeedtu.in/js/faq.js	D:/Port/vihaan.ieeedtu.in/js/faq.js	(from https://vihaan.ieeedtu.in/)
19:01:49	2525/2525	---M-Z	200	added ('OK')	application/javascript	etag:W/%22646c8c25-9dd%22	https://vihaan.ieeedtu.in/js/script.js	D:/Port/vihaan.ieeedtu.in/js/script.js	(from https://vihaan.ieeedtu.in/)
19:01:50	914/914	---M-Z	200	added ('OK')	application/javascript	etag:W/%22646c8c25-392%22	https://vihaan.ieeedtu.in/js/glitche-scripts.js	D:/Port/vihaan.ieeedtu.in/js/glitche-scripts.js	(from https://vihaan.ieeedtu.in/)
19:01:50	219/219	---M--	200	added ('OK')	application/javascript	etag:%22646c8c25-db%22	https://vihaan.ieeedtu.in/js/type.js	D:/Port/vihaan.ieeedtu.in/js/type.js	(from https://vihaan.ieeedtu.in/)
19:01:50	104767/104767	---M-Z	200	added ('OK')	application/javascript	etag:W/%22646c8c25-1993f%22	https://vihaan.ieeedtu.in/revolution/js/jquery.themepunch.tools.min.js?rev=5.0	D:/Port/vihaan.ieeedtu.in/revolution/js/jquery.themepunch.tools.min838f.js	(from https://vihaan.ieeedtu.in/)
19:01:50	54917/54917	---M-Z	200	added ('OK')	application/javascript	etag:W/%22646c8c25-d685%22	https://vihaan.ieeedtu.in/revolution/js/jquery.themepunch.revolution.min.js?rev=5.0	D:/Port/vihaan.ieeedtu.in/revolution/js/jquery.themepunch.revolution.min838f.js	(from https://vihaan.ieeedtu.in/)
19:01:51	23395/23395	---M-Z	200	added ('OK')	application/javascript	etag:W/%22646c8c25-5b63%22	https://vihaan.ieeedtu.in/revolution/js/extensions/revolution.extension.video.min.js	D:/Port/vihaan.ieeedtu.in/revolution/js/extensions/revolution.extension.video.min.js	(from https://vihaan.ieeedtu.in/)
